epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1583,1.60938,3.34884,1.64088,0.0077,0.52544,0.01938,0.00908,1.90912,3.59514,1.75111,0,0,0
2,24.8836,1.69612,3.43099,1.65773,0.00772,0.52544,0.02123,0.00851,1.88342,3.61011,1.73521,1.58448e-05,1.58448e-05,1.58448e-05
3,36.7649,1.66394,3.37198,1.63963,0.00803,0.52903,0.03766,0.01362,1.83602,3.58516,1.73858,3.00393e-05,3.00393e-05,3.00393e-05
4,48.1286,1.68179,3.41412,1.64496,0.00808,0.52903,0.05274,0.02131,1.76069,3.57598,1.70333,4.25835e-05,4.25835e-05,4.25835e-05
5,58.7915,1.59129,3.2768,1.62714,0.00814,0.52903,0.10198,0.04037,1.69735,3.56787,1.65983,5.34774e-05,5.34774e-05,5.34774e-05
6,69.6211,1.3723,3.21038,1.50688,0.00819,0.52903,0.13274,0.05862,1.67299,3.5543,1.63635,6.27209e-05,6.27209e-05,6.27209e-05
7,80.7177,1.50899,3.30535,1.52585,0.00961,0.54702,0.19415,0.09449,1.61384,3.54976,1.57828,7.03141e-05,7.03141e-05,7.03141e-05
8,91.2644,1.38102,3.27893,1.36146,0.01015,0.55421,0.2273,0.12093,1.58482,3.52983,1.5614,7.62569e-05,7.62569e-05,7.62569e-05
9,102.192,1.45984,3.21466,1.46669,0.0122,0.57939,0.25176,0.14971,1.55699,3.50526,1.51966,8.05494e-05,8.05494e-05,8.05494e-05
10,114.132,1.41932,3.09224,1.55459,0.01355,0.59738,0.2846,0.17654,1.52963,3.47825,1.48689,8.31916e-05,8.31916e-05,8.31916e-05
11,125.035,1.6506,3.31384,1.52275,0.0146,0.61536,0.31162,0.1939,1.49496,3.45869,1.45846,8.41835e-05,8.41835e-05,8.41835e-05
12,135.512,1.53046,3.17611,1.55446,0.01572,0.63335,0.35165,0.20478,1.49478,3.43962,1.44786,8.3525e-05,8.3525e-05,8.3525e-05
13,146.064,1.52293,3.08478,1.53723,0.01566,0.63695,0.35537,0.21301,1.50111,3.42066,1.42128,8.12162e-05,8.12162e-05,8.12162e-05
14,156.8,1.46501,3.00754,1.47368,0.01731,0.66213,0.37635,0.22295,1.48834,3.40971,1.40026,7.72571e-05,7.72571e-05,7.72571e-05
15,167.66,1.52525,3.0228,1.41332,0.01687,0.65853,0.36712,0.22407,1.45551,3.40237,1.37774,7.16477e-05,7.16477e-05,7.16477e-05
16,178.14,1.47264,2.95626,1.40009,0.01847,0.68371,0.36256,0.22139,1.44717,3.38577,1.37767,6.43879e-05,6.43879e-05,6.43879e-05
17,189.335,1.33634,2.73748,1.38892,0.01783,0.67652,0.36349,0.22792,1.41182,3.37262,1.35481,5.54778e-05,5.54778e-05,5.54778e-05
18,199.885,1.45444,2.88284,1.33046,0.01783,0.67652,0.36349,0.22792,1.41182,3.37262,1.35481,4.49173e-05,4.49173e-05,4.49173e-05
19,210.496,1.37411,2.73646,1.34714,0.01803,0.68011,0.3615,0.22768,1.36823,3.35784,1.33047,3.27065e-05,3.27065e-05,3.27065e-05
20,220.865,1.48065,2.79791,1.46019,0.01803,0.68011,0.3615,0.22768,1.36823,3.35784,1.33047,1.88454e-05,1.88454e-05,1.88454e-05
